city,city_ascii,state_id,state_name,county_name,lat,lng,zips
Madrid,Madrid,IA,Iowa,Boone,41.8757,-93.8205,50156
Riverdale,Riverdale,CA,California,Fresno,36.4304,-119.8671,93656
Mar-Mac,Mar-Mac,NC,North Carolina,Wayne,35.3345,-78.0545,28333 27530
Mayflower,Mayflower,AR,Arkansas,Faulkner,34.9688,-92.4224,72106
Stockton University,Stockton University,NJ,New Jersey,Atlantic,39.4889,-74.5417,08240
Fayette,Fayette,MO,Missouri,Howard,39.147,-92.6857,65248
Albany,Albany,MN,Minnesota,Stearns,45.6284,-94.5675,56307
Skidway Lake,Skidway Lake,MI,Michigan,Ogemaw,44.1918,-84.0467,48610 48756
Harveys Lake,Harveys Lake,PA,Pennsylvania,Luzerne,41.3623,-76.0385,18618 18612
Kingston Springs,Kingston Springs,TN,Tennessee,Cheatham,36.0842,-87.1039,37082
Palmas del Mar,Palmas del Mar,PR,Puerto Rico,Humacao,18.0922,-65.8005,00791
Pennington,Pennington,NJ,New Jersey,Mercer,40.3262,-74.7908,08534
Owensville,Owensville,MO,Missouri,Gasconade,38.3491,-91.4974,65066
Watertown,Watertown,FL,Florida,Columbia,30.1856,-82.6026,32055 32025
Blaine,Blaine,TN,Tennessee,Grainger,36.1478,-83.6939,37709
Hewitt,Hewitt,NJ,New Jersey,Passaic,41.1601,-74.3311,07421
Towanda,Towanda,PA,Pennsylvania,Bradford,41.7706,-76.4472,18848
St. Marys,St. Marys,KS,Kansas,Pottawatomie,39.1942,-96.0643,66536
Clinton,Clinton,MI,Michigan,Lenawee,42.0699,-83.9687,49236
Crewe,Crewe,VA,Virginia,Nottoway,37.1812,-78.1307,23930
Munsey Park,Munsey Park,NY,New York,Nassau,40.799,-73.6799,11030
Grundy Center,Grundy Center,IA,Iowa,Grundy,42.3637,-92.774,50638
Fairbanks Ranch,Fairbanks Ranch,CA,California,San Diego,32.9919,-117.1859,92067
Keasbey,Keasbey,NJ,New Jersey,Middlesex,40.5143,-74.3078,08832
Castle Point,Castle Point,MO,Missouri,St. Louis,38.7568,-90.2485,63136
Townsend,Townsend,DE,Delaware,New Castle,39.3968,-75.6943,19734
Acushnet Center,Acushnet Center,MA,Massachusetts,Bristol,41.685,-70.9064,02743
West Grove,West Grove,PA,Pennsylvania,Chester,39.8206,-75.8284,19390
Gluckstadt,Gluckstadt,MS,Mississippi,Madison,32.5322,-90.1034,39046 39110
K. I. Sawyer,K. I. Sawyer,MI,Michigan,Marquette,46.3299,-87.3673,49841
Follansbee,Follansbee,WV,West Virginia,Brooke,40.3385,-80.5975,26037
Cape May,Cape May,NJ,New Jersey,Cape May,38.9409,-74.9042,08204
Manchester,Manchester,PA,Pennsylvania,York,40.0613,-76.7195,17345
Kemmerer,Kemmerer,WY,Wyoming,Lincoln,41.7761,-110.5555,83101 83116
Madison,Madison,IL,Illinois,Madison,38.7024,-90.1501,62048 62040 62060
